date,confirmed,deaths,recovered,new_confirmed,new_deaths,new_recovered,new_confirmed_smooth,new_deaths_smooth,new_recovered_smooth
2020-08-08,47348,1044,31248,1571,1,1007,1284.5714285714287,5.428571428571429,992.7142857142857
2020-08-09,48789,1049,32867,1441,5,1619,1230.857142857143,5.142857142857143,992.7142857142857
2020-08-10,49627,1054,33450,838,5,583,1186.142857142857,5.857142857142857,1047.5714285714287
2020-08-11,50324,1061,34136,697,7,686,1150.5714285714287,6.142857142857143,850.0
2020-08-12,51303,1066,34969,979,5,833,1102.0,7.0,1269.142857142857
2020-08-13,52475,1077,36191,1172,11,1222,1041.4285714285713,7.857142857142857,1198.0
2020-08-14,53831,1086,35498,1356,9,0,1014.1428571428571,9.285714285714286,1262.0
2020-08-15,55062,1093,39439,1231,7,3941,1045.4285714285713,10.571428571428571,1360.2857142857142
2020-08-16,56079,1104,40560,1017,11,1121,1058.4285714285713,11.857142857142858,1358.5714285714287
2020-08-17,56726,1119,41591,647,15,1031,1059.2857142857142,11.857142857142858,1373.142857142857
2020-08-18,57642,1135,42965,916,16,1374,1013.7142857142857,12.714285714285714,1538.0
2020-08-19,58712,1149,43786,1070,14,821,978.4285714285714,12.571428571428571,1139.857142857143
2020-08-20,59890,1160,45110,1178,11,1324,939.4285714285714,12.285714285714286,1108.4285714285713
2020-08-21,60927,1175,46264,1037,15,1154,917.4285714285714,12.0,1071.142857142857
2020-08-22,61911,1181,47418,984,6,1154,888.7142857142857,11.714285714285714,1018.1428571428571
2020-08-23,62655,1190,48319,744,9,901,864.8571428571429,11.571428571428571,1088.7142857142858
2020-08-24,63148,1203,49089,493,13,770,819.8571428571429,11.571428571428571,1061.7142857142858
2020-08-25,63863,1217,50092,715,14,1003,796.8571428571429,12.285714285714286,1061.0
2020-08-26,64766,1230,51407,903,13,1315,776.8571428571429,13.0,1066.4285714285713
2020-08-27,65629,1241,52542,863,11,1135,756.2857142857143,13.714285714285714,1054.4285714285713
2020-08-28,66505,1261,53691,876,20,1149,748.1428571428571,13.857142857142858,1035.5714285714287
2020-08-29,67349,1272,54883,844,11,1192,736.4285714285714,13.857142857142858,1058.7142857142858
2020-08-30,67949,1286,55700,600,14,817,692.0,13.857142857142858,957.2857142857143
2020-08-31,68385,1300,56338,436,14,638,662.5714285714286,13.428571428571429,808.2857142857143
2020-09-01,69018,1314,57503,633,14,1165,621.2857142857143,13.0,914.5714285714286
2020-09-02,69610,1327,58108,592,13,605,586.1428571428571,12.714285714285714,888.0
2020-09-03,70267,1335,58200,657,8,92,564.8571428571429,11.857142857142858,861.4285714285714
2020-09-04,70854,1352,60093,587,17,1893,544.1428571428571,11.428571428571429,836.0
2020-09-05,71452,1361,61099,598,9,1006,526.4285714285714,12.0,776.1428571428571
2020-09-06,71903,1369,61730,451,8,631,514.4285714285714,12.142857142857142,803.7142857142857
2020-09-07,72194,1380,62190,291,11,460,522.2857142857143,12.0,898.4285714285714
2020-09-08,72703,1398,62936,509,18,746,530.1428571428571,10.857142857142858,735.8571428571429
2020-09-09,73211,1412,63734,508,14,798,537.0,11.428571428571429,690.7142857142857
2020-09-10,73923,1419,64489,712,7,755,535.2857142857143,11.142857142857142,684.8571428571429
2020-09-11,74565,1428,65244,642,9,755,531.7142857142857,10.571428571428571,673.0
2020-09-12,75211,1441,65934,646,13,690,534.8571428571429,9.857142857142858,566.4285714285714
2020-09-13,75650,1447,66524,439,6,590,541.0,9.714285714285714,625.1428571428571
2020-09-14,75916,1454,66901,266,7,377,509.14285714285717,10.0,619.7142857142857
2020-09-15,76447,1467,66901,531,13,0,499.14285714285717,10.142857142857142,603.4285714285714
2020-09-16,76998,1480,68110,551,13,1209,492.0,8.857142857142858,588.1428571428571
2020-09-17,77487,1489,68827,489,9,717,497.85714285714283,8.571428571428571,582.8571428571429
2020-09-18,78059,1499,69468,572,10,641,504.14285714285717,8.571428571428571,581.2857142857143
2020-09-19,78655,1503,70051,596,4,583,475.57142857142856,7.428571428571429,616.1428571428571
2020-09-20,79135,1507,70604,480,4,553,428.14285714285717,6.428571428571429,491.0
2020-09-21,79445,1514,70970,310,7,366,427.14285714285717,6.857142857142857,462.7142857142857
2020-09-22,79776,1519,71214,331,5,244,427.2857142857143,6.428571428571429,506.85714285714283
2020-09-23,79995,1525,71547,219,6,333,433.42857142857144,6.285714285714286,518.0
2020-09-24,80477,1537,72066,482,12,519,434.14285714285717,6.142857142857143,439.0
2020-09-25,81050,1544,73016,573,7,950,433.0,6.714285714285714,503.57142857142856
2020-09-26,81689,1547,73677,639,3,661,461.0,7.0,535.4285714285714
2020-09-27,82174,1550,73677,485,3,0,512.0,7.142857142857143,567.8571428571429
2020-09-28,82476,1561,74495,302,11,818,533.5714285714286,6.571428571428571,573.5714285714286
2020-09-29,83003,1568,74962,527,7,467,529.1428571428571,7.0,526.2857142857143
2020-09-30,83579,1575,75522,576,7,560,519.8571428571429,7.428571428571429,431.85714285714283
2020-10-01,84212,1583,76081,633,8,559,507.7142857142857,7.142857142857143,596.2857142857143
2020-10-02,84754,1593,76700,542,10,619,504.42857142857144,6.142857142857143,510.85714285714283
2020-10-03,85328,1599,76700,574,6,0,500.57142857142856,6.142857142857143,508.42857142857144
2020-10-04,85728,1600,77851,400,1,1151,490.57142857142856,5.857142857142857,514.4285714285714
2020-10-05,86007,1604,78071,279,4,220,489.7142857142857,5.142857142857143,513.2857142857143
2020-10-06,86507,1611,78521,500,7,450,498.42857142857144,4.571428571428571,491.42857142857144
2020-10-07,87013,1616,79123,506,5,602,513.2857142857143,4.142857142857143,585.4285714285714
