date,actual_confirmed,predicted_confirmed,actual_recovered,predicted_recovered,actual_deaths,predicted_deaths
2022-11-16,83034.85714285714,67594.734,0.0,-115.19128,79.85714285714286,91.589386
2022-11-17,84296.0,68932.305,0.0,-130.00618,87.71428571428571,95.329735
2022-11-18,84991.57142857143,70247.99,0.0,-143.80457,89.0,99.23776
2022-11-19,88050.14285714286,71402.48,0.0,-156.74776,109.57142857142856,103.07948
2022-11-20,91715.71428571428,72622.984,0.0,-168.25009,116.57142857142856,107.931854
2022-11-21,87216.0,73934.375,0.0,-178.23395,115.14285714285714,113.39796
2022-11-22,91796.85714285714,74898.46,0.0,-186.05612,116.28571428571429,118.88021
2022-11-23,96859.71428571428,75892.31,0.0,-193.61551,125.28571428571428,124.478905
2022-11-24,99824.57142857143,77050.914,0.0,-200.2083,128.14285714285714,130.3164
2022-11-25,100780.71428571428,78455.71,0.0,-206.73978,134.71428571428572,136.60565
2022-11-26,102760.71428571428,79809.82,0.0,-212.9668,136.0,143.48943
2022-11-27,103480.0,81115.125,0.0,-221.00673,143.14285714285714,150.2583
2022-11-28,111779.0,82252.63,0.0,-229.1653,150.57142857142858,156.65602
2022-11-29,110648.71428571428,83702.42,0.0,-236.92146,163.0,163.67181
2022-11-30,108400.71428571428,85142.15,0.0,-243.51106,165.28571428571428,171.24312
2022-12-01,107127.85714285714,86209.77,0.0,-250.42926,166.57142857142858,178.69942
2022-12-02,106914.14285714286,86866.69,0.0,-257.13635,168.57142857142858,185.75581
2022-12-03,107225.71428571428,87228.164,0.0,-263.1387,167.71428571428572,192.39474
2022-12-04,108795.28571428572,87349.2,0.0,-268.50925,167.85714285714286,198.23515
2022-12-05,110918.71428571428,87623.78,0.0,-272.71048,176.57142857142858,203.76161
2022-12-06,113370.42857142857,88050.49,0.0,-273.41107,182.42857142857144,209.23106
2022-12-07,117109.00000000001,88747.664,0.0,-271.1989,188.42857142857144,215.68712
2022-12-08,121338.71428571428,89729.98,0.0,-267.06937,194.0,222.25291
2022-12-09,123440.85714285713,91085.06,0.0,-262.2066,195.42857142857144,229.1611
2022-12-10,129114.71428571428,92639.86,0.0,-261.33057,205.0,236.11165
2022-12-11,135003.85714285713,94519.32,0.0,-262.71588,209.7142857142857,243.82405
2022-12-12,140064.7142857143,96646.24,0.0,-266.6696,214.57142857142856,251.85538
2022-12-13,143852.14285714287,98959.9,0.0,-275.76877,219.0,260.4998
2022-12-14,147083.85714285713,101312.87,0.0,-289.01196,225.0,268.7515
2022-12-15,149521.42857142858,103759.67,0.0,-304.20828,231.0,278.60852
2022-12-16,150747.85714285713,106372.586,0.0,-317.80927,238.57142857142858,290.32822
2022-12-17,152187.2857142857,108986.1,0.0,-328.5826,240.99999999999997,303.73737
2022-12-18,154521.0,111467.54,0.0,-338.36188,248.42857142857142,318.1812
2022-12-19,156790.14285714287,113922.2,0.0,-345.27274,257.2857142857143,333.67944
2022-12-20,159609.2857142857,116320.875,0.0,-349.19302,265.2857142857143,350.18854
2022-12-21,162357.7142857143,118757.17,0.0,-350.9749,276.0,367.77972
