无隔离,轻度隔离,严格隔离
0.2885570068790401,6.628024521534432,3186.643592239222
0.2255950724266843,5.316598082404279,2696.479268476913
0.17637114881934596,4.264651442954186,2281.6749656283114
0.13788768222910913,3.4208437869684674,1930.6547465526633
0.10780114227324984,2.7439926087066935,1633.6180181744696
0.08427936080155284,2.2010637773817816,1382.267904210835
0.06588995971900333,1.765559297161528,1169.5812746648762
0.05151304419740534,1.4162241446279589,989.6134328736529
0.04027311571090483,1.1360087467992601,837.3330315051554
0.03148567910959628,0.9112369905162214,708.4818299379876
0.024615630250555628,0.7309387935770922,599.4561144922772
0.019244599680382442,0.5863145766369655,507.2061951646825
0.015045506518147475,0.4703058338853068,429.15127153162234
0.011762633636876399,0.3772506761854408,363.1074510698068
0.009196073238807601,0.3026075166664651,307.22671764808786
0.007189526552909805,0.24273331991656585,259.9453288438957
0.005620800644038262,0.1947058710237407,219.9400851259972
0.004394361964036436,0.15618118576655043,186.09135400664408
0.0034355316371746407,0.12527903057928078,157.45176238044945
0.0026859140314731433,0.10049120031900137,133.21970147193096
0.0020998570682069714,0.0806079141862595,112.71690152498758
0.0016416800196302264,0.06465875411492396,95.3694635137916
0.0012834683563963186,0.05186531111525954,80.69179792786156
0.0010034231107614521,0.04160318996478265,68.27303907974007
0.0007844814809343037,0.033371539706854775,57.7655501974706
0.0006133138655985341,0.026768620032023353,48.87518805043519
0.0004794855156012394,0.021472140464808092,41.35307787123912
0.0003748621626303052,0.017223655185634398,34.98864538210825
0.0002930673659666633,0.013815771478906443,29.603723102377526
0.00022911638500042544,0.011082155401134735,25.047561905080137
0.0001791273478517621,0.008889433404134124,21.192613855282353
0.00014006009026642488,0.007130559808464511,17.93095963905579
0.00010949512021566909,0.0057197006755378855,15.17128931569458
8.560699035476103e-05,0.004587995044814922,12.83634574949501
6.692451252070248e-05,0.0036802083924720444,10.860762099934869
5.232119159403593e-05,0.002952041493683388,9.189230895873397
4.090796055789983e-05,0.002367949177653023,7.774957174270934
3.197901399884692e-05,0.0018994244818109124,6.5783477849740715
2.499896941242367e-05,0.0015236077560945073,5.56590289124223
1.9538891700058808e-05,0.00122215677879882,4.709278925040161
1.5285758537162346e-05,0.0009803347928902819,3.9844941109312777
1.1952305255488923e-05,0.0007863495987848097,3.371257754009511
9.344684940627943e-06,0.0006307709786827827,2.852401845094075
7.306006407292952e-06,0.0005059644657716835,2.4134009318558536
5.714346933005483e-06,0.00040585289299460947,2.041964647135052
4.468034502790977e-06,0.0003255507772328181,1.727694429332071
3.494674789145154e-06,0.00026113681611770497,1.4617923299877225
2.734463570313548e-06,0.00020946801990850224,1.2368140489168626
2.140110057364964e-06,0.0001680224561264363,1.046461191985505
1.674404082726716e-06,0.00013477733533075415,0.8854047297677999
