date,S,E,I,Q,R,predicted_new
2020-05-24,56012819.021722,206.59360018990213,254.44161198292974,85042.23664933251,69901677.70641659,143.12812094883247
2020-05-25,56012689.74854446,167.93105548390906,206.82497249952533,76982.14547722902,69909953.34995045,116.34255765607183
2020-05-26,56012584.66808839,136.50383417151255,168.11921687298818,69682.94492774592,69917427.76393293,94.5697010996874
2020-05-27,56012499.252867915,110.95794820611947,136.65684153950997,63073.3735579702,69924179.75878447,76.8714802152043
2020-05-28,56012429.82266805,90.19277982745706,111.08236082828691,57088.73673112114,69930280.16546029,62.485366540922186
2020-05-29,56012373.38599193,73.31366902904041,90.29393567114653,51670.32186081727,69935792.68454269,50.79152815199155
2020-05-30,56012327.51117581,59.59337695240238,73.39591131797552,46764.86178840716,69940774.63774763,41.28612640286514
2020-05-31,56012290.22162549,48.44075740832698,59.66023957828006,42324.0431235859,69945277.63425405,33.55961096575438
2020-06-01,56012259.91065184,39.37528970087806,48.49511465763228,38304.05639718835,69949348.16254672,27.279074621368277
2020-06-02,56012235.27224775,32.00637755722746,39.41947925343855,34665.184993904884,69953028.11690167,22.17391086590712
2020-06-03,56012215.244816095,26.01652061510637,32.04229977908011,31371.42991349292,69956355.26645015,18.02415477480018
2020-06-04,56012198.96543717,21.147637620487245,26.045722562295843,28390.167603561444,69959363.67359921,14.65100740986956
2020-06-05,56012185.732678376,17.18994411875637,21.17137596235608,25691.838131130382,69962084.06787054,11.909130099835165
2020-06-06,56012174.97637765,13.97291562749881,17.209240863568144,23249.661312055792,69964544.18015394,9.680383628497287
2020-06-07,56012166.23307614,11.357940301803595,13.988601688493668,21039.378403446866,69966769.04197857,7.868737880494184
2020-06-08,56012159.12604931,9.232346692251864,11.37069121755013,19039.017215426116,69968781.25369751,6.39613429905159
2020-06-09,56012153.34907491,7.5045492264097025,9.242711609455077,17228.678628412843,69970601.22503603,5.199122579091026
2020-06-10,56012148.65323895,6.100102087586765,7.512974584649465,15590.34265723043,69972247.39102733,4.226126869487954
2020-06-11,56012144.83621045,4.958491582897047,6.106950740576549,14107.692342661343,69973736.40600476,3.435223455313973
2020-06-12,56012141.73352425,4.030528993156483,4.964058631198669,12765.95390022402,69975083.31798807,2.7923345445507435
2020-06-13,56012139.211493894,3.2762309645471093,4.035054238591334,11551.751657952775,69976301.72556311,2.269759801253686
2020-06-14,56012137.16145183,2.663096854277094,3.279909346558792,10452.976469475636,69977403.91907264,1.8449828952469904
2020-06-15,56012135.495067336,2.1647084368286578,2.6660868541836664,9458.66637509056,69978401.00776243,1.4997013518116746
2020-06-16,56012134.1405404,1.7595914794569198,2.167138900318571,8558.898395501026,69979303.03433388,1.2190379412555248
2020-06-17,56012133.03950803,1.430290632141508,1.7615670893465751,7744.690443676534,69980119.07819073,0.9908996053773956
2020-06-18,56012132.144529715,1.1626171726042709,1.4318965056867645,7007.9124243719,69980857.34853241,0.8054564974751599
2020-06-19,56012131.41704322,0.9450377386229276,1.1639225841722385,6341.205673927931,69981525.26832272,0.6547183839201881
2020-06-20,56012130.82570304,0.7681775098540302,0.9460988763342822,5737.909969986063,69982129.55005077,0.5321903116067132
2020-06-21,56012130.34502996,0.624415992203242,0.7690400744369454,5191.997408504107,69982676.26410568,0.4325929133022738
2020-06-22,56012129.95431302,0.5075589166378504,0.6251171151962542,4698.012507542396,69983170.9005036,0.35163477922951897
2020-06-23,56012129.63671722,0.4125711758330302,0.5081287912529153,4251.017958206701,69983618.4246248,0.28582764871694993
2020-06-24,56012129.37855826,0.3353600205909054,0.41303438403421233,3846.545504936716,69984023.3275426,0.23233606990845931
2020-06-25,56012129.168712854,0.2725986607392481,0.3357365610440587,3480.551460913695,69984389.67149122,0.1888552523009408
2020-06-26,56012128.99813925,0.22158286144967007,0.2729047450425376,3149.376410328998,69984721.13096304,0.15351171209410563
2020-06-27,56012128.859487824,0.1801144713775375,0.22183165992430534,2849.708744255601,69985021.029822,0.12478257864944894
2020-06-28,56012128.74678446,0.14640672379570405,0.18031669722715418,2578.5516523412884,69985292.37483999,0.10142998708287325
2020-06-29,56012128.655173115,0.11900725514466803,0.14657110458066555,2333.193226057192,69985537.88602269,0.08244774578524394
2020-06-30,56012128.58070649,0.0967354959525046,0.1191408749221155,2111.179398515727,69985760.02401882,0.06701796088686036
2020-07-01,56012128.52017601,0.07863181248862806,0.09684410936069214,1910.2894496647666,69985961.0148986,0.05447580209554841
2020-07-02,56012128.470973566,0.06391616173617372,0.07872009491738151,1728.513836913017,69986142.87255347,0.044280858578776075
2020-07-03,56012128.430979185,0.0519544902086113,0.06398792451603508,1564.0341282226307,69986307.41895038,0.035993861679209656
2020-07-04,56012128.3984696,0.042231402128813295,0.05201282037825356,1415.2048371855049,69986456.3024492,0.029257743804546578
2020-07-05,56012128.37204407,0.03432795214212187,0.042278817588046046,1280.5369846796218,69986591.01436467,0.023782267065905915
2020-07-06,56012128.35056398,0.027903603080499714,0.034366496820387664,1158.6832199347896,69986712.90394619,0.019331505210406243
2020-07-07,56012128.333103806,0.02268155436436332,0.02793492631511173,1048.424356005684,69986823.19192392,0.015713683890452367
2020-07-08,56012128.31891125,0.018436785950572777,0.022707013184991416,948.6571828063276,69986922.98276237,0.012772928189163145
2020-07-09,56012128.30737477,0.01498640953800962,0.01845748540370239,858.3834386171419,69987013.27574295,0.01038252419727575
2020-07-10,56012128.29799728,0.012181759655032282,0.01500323551002206,776.6998292009885,69987094.97498873,0.008439473532992443
2020-07-11,56012128.29037478,0.009901988615985565,0.012195436220604827,702.7889979340474,69987168.89853008,0.006860057617784341
2020-07-12,56012128.284178786,0.008048867539865737,0.00991310491087166,635.9113492842683,69987235.78651014,0.005576222889678052
2020-07-13,56012128.279142365,0.006542554686727403,0.008057907943274094,575.3976615113883,69987296.30859587,0.004532655568380918
2020-07-14,56012128.27504849,0.005318142208198835,0.006549902891339383,520.6423748379559,69987351.07070884,0.003684387376529313
2020-07-15,56012128.27172076,0.004322872842031176,0.0053241146844157945,471.09754666376824,69987400.6210858,0.002994868919299598
2020-07-16,56012128.2690158,0.003513864286867228,0.004327727463184461,426.2673741769226,69987445.45576862,0.002434390959708506
2020-07-17,56012128.26681707,0.002856260525889614,0.0035178112765176088,385.70323104025476,69987486.023578,0.001978805085061054
2020-07-18,56012128.2650298,0.002321715511530335,0.002859463627872203,348.99916339144977,69987522.73062581,0.0016084768357638465
2020-07-19,56012128.26357704,0.0018872116169067607,0.0023243291446169733,315.7878680100566,69987555.9443436,0.0013074570839171661
2020-07-20,56012128.26239614,0.0015340339723892893,0.0018893291999108404,285.7369780202328,69987585.99720266,0.0010627685948961948
2020-07-21,56012128.26143625,0.0012469469092637098,0.0015357435312035894,258.54575212459275,69987613.19002911,0.0008638738482491906
2020-07-22,56012128.26065599,0.0010135850987269123,0.00124833581448715,233.94206821217122,69987637.79501404,0.0007022033930708247
2020-07-23,56012128.26002176,0.0008238942348436103,0.001014718577543433,211.6796976278635,69987660.05844216,0.0005707898706469
2020-07-24,56012128.25950623,0.0006697053281784866,0.0008248182199079772,191.53584165229597,69987680.20315777,0.0004639688163804807
2020-07-25,56012128.25908718,0.0005443723253049429,0.0006704569054541019,173.30890249131693,69987698.43079568,0.00037713888880946316
2020-07-26,56012128.25874656,0.0004424950497349,0.0005449833824204073,156.8164657235405,69987714.92380042,0.00030655874182016575
2020-07-27,56012128.25846967,0.00035968371753768874,0.000442991789646861,141.89347571546367,69987729.84725212,0.000249187415705365
2020-07-28,56012128.258244604,0.0002923701773350964,0.000360087462899587,128.39058226480572,69987743.35052086,0.00020255287922862236
2020-07-29,56012128.25806166,0.00023765443848610193,0.0002926985222431525,116.1726505258393,69987755.56875764,0.00016464594724013685
2020-07-30,56012128.257912956,0.00019317840376256715,0.00023792103941540468,105.11739925620982,69987766.62425686,0.00013383307527925367
2020-07-31,56012128.25779207,0.000157025726166201,0.00019339526633210593,95.11418707762348,69987776.62767059,0.00010878680727957762
2020-08-01,56012128.25769381,0.00012763910149487734,0.00015720189274362622,86.0629006224618,69987785.67912088,8.842772457515824e-05
2020-08-02,56012128.25761394,0.00010375126669267553,0.00012778368869595976,77.87295409988542,69987793.86920059,7.187929277792242e-05
2020-08-03,56012128.257549025,8.433285116780026e-05,0.0001038719056163105,70.46237776906275,69987801.27988517,5.8427983840747296e-05
2020-08-04,56012128.257496245,6.855214242318084e-05,8.442951842307313e-05,63.757009760879725,69987807.98534116,4.749251936784638e-05
2020-08-05,56012128.25745335,5.5722267041314076e-05,6.862981721486751e-05,57.68973871185924,69987814.05268376,3.8604739344870095e-05
2020-08-06,56012128.25741849,4.5289653386512314e-05,5.579407895839902e-05,52.19984307870998,69987819.54263753,3.138235745522898e-05
2020-08-07,56012128.25739014,3.682878600160727e-05,4.53251447299055e-05,47.23237837234496,69987824.51014951,2.5501336874565985e-05
2020-08-08,56012128.2573671,2.993758091852064e-05,3.684059096147655e-05,42.73762911053025,69987829.0049372,2.0728240836236898e-05
2020-08-09,56012128.257348366,2.4329770245886312e-05,2.9955338348494737e-05,38.67061072062339,69987833.07198681,1.6851738280788245e-05
2020-08-10,56012128.25733315,1.9775101225153384e-05,2.435194818931866e-05,34.99061941431122,69987836.75200349,1.3698765702561196e-05
2020-08-11,56012128.25732077,1.607351982159562e-05,1.979593517745825e-05,31.6608248545063,69987840.0818187,1.1135489193073575e-05
2020-08-12,56012128.25731072,1.306536210847601e-05,1.609130501811358e-05,28.64790149156834,69987843.09475881,9.051554354115487e-06
2020-08-13,56012128.257302545,1.0620193181327795e-05,1.3079940152638677e-05,25.92169522143569,69987845.82097873,7.357607833731215e-06
2020-08-14,56012128.25729589,8.63265323052444e-06,1.063209488825097e-05,23.454921370222063,69987848.28776366,5.9806635892778625e-06
2020-08-15,56012128.25729049,7.017124941458819e-06,8.642269792235415e-06,21.222891871293633,69987850.51980217,4.861385536757207e-06
