date,S,E,I,R,predicted_new
2022-04-23,95985883.24838877,1.1801391254059902e-08,1.451986669238703e-08,30014116.751611132,9.955015922268786e-09
2022-04-24,95985883.24838875,1.1139675459681783e-08,1.3705723288325586e-08,30014116.751611143,9.396828252771017e-09
2022-04-25,95985883.24838875,1.0512417584080384e-08,1.2933975252302189e-08,30014116.751611155,8.867707417893053e-09
2022-04-26,95985883.24838874,9.92052536432238e-09,1.2205739418409341e-08,30014116.751611162,8.368419134112108e-09
2022-04-27,95985883.24838872,9.365068855637478e-09,1.1522332328982035e-08,30014116.751611173,7.899866040562889e-09
2022-04-28,95985883.24838871,8.844659491212364e-09,1.0882045558724406e-08,30014116.75161118,7.460876817881198e-09
2022-04-29,95985883.24838871,8.329938636109527e-09,1.0248757686915541e-08,30014116.75161119,7.026686134123582e-09
2022-04-30,95985883.2483887,7.84336777671903e-09,9.650104219777394e-09,30014116.7516112,6.616241264102401e-09
2022-05-01,95985883.2483887,7.384454076214212e-09,9.085478793746004e-09,30014116.751611207,6.229126476801538e-09
2022-05-02,95985883.2483887,6.952615400735507e-09,8.554165178406231e-09,30014116.751611214,5.864850715013805e-09
2022-05-03,95985883.24838868,6.547160167365844e-09,8.055312482404583e-09,30014116.75161122,5.522830596181245e-09
2022-05-04,95985883.24838868,6.167267192106039e-09,7.587910359361986e-09,30014116.75161123,5.202373413235418e-09
2022-05-05,95985883.24838866,5.811965537850179e-09,7.150764213786605e-09,30014116.751611233,4.9026601354376914e-09
2022-05-06,95985883.24838866,5.480114362361016e-09,6.742470406986635e-09,30014116.75161124,4.622728409219534e-09
2022-05-07,95985883.24838866,5.1703827662453555e-09,6.3613914629831015e-09,30014116.751611244,4.361455559022802e-09
2022-05-08,95985883.24838865,4.881229640929452e-09,6.005631274422665e-09,30014116.75161125,4.117541588140039e-09
2022-05-09,95985883.24838865,4.610883516634392e-09,5.673010308490414e-09,30014116.751611255,3.889492179554759e-09
2022-05-10,95985883.24838865,4.359270187963562e-09,5.363437269039389e-09,30014116.75161126,3.677244739400509e-09
2022-05-11,95985883.24838865,4.141562981804437e-09,5.095580724617751e-09,30014116.751611263,3.4935986893992797e-09
2022-05-12,95985883.24838863,3.943075503793288e-09,4.851371213120255e-09,30014116.751611266,3.326165363265388e-09
2022-05-13,95985883.24838863,3.762144953282934e-09,4.628762905228492e-09,30014116.751611266,3.173542112898102e-09
2022-05-14,95985883.24838863,3.5968877124015323e-09,4.425438288835137e-09,30014116.75161127,3.0341400208219873e-09
2022-05-15,95985883.24838863,3.4451834260120325e-09,4.238788581795779e-09,30014116.751611274,2.9061704709060894e-09
2022-05-16,95985883.24838863,3.3046590816716204e-09,4.065894144680762e-09,30014116.751611277,2.7876317190831042e-09
2022-05-17,95985883.24838863,3.1726730895911683e-09,3.903504893527016e-09,30014116.751611277,2.6762954640685565e-09
2022-05-18,95985883.24838863,3.0462993625946825e-09,3.7480207125899005e-09,30014116.75161128,2.5696934180799752e-09
2022-05-19,95985883.24838862,2.9223113960787524e-09,3.595471867095033e-09,30014116.75161128,2.4651038775560693e-09
2022-05-20,95985883.24838862,2.797166347971997e-09,3.441499415990131e-09,30014116.751611285,2.3595382938759023e-09
2022-05-21,95985883.24838862,2.6669891186945158e-09,3.281335624696847e-09,30014116.751611285,2.2497278440780705e-09
2022-05-22,95985883.24838862,2.5489367184724683e-09,3.136089644880388e-09,30014116.75161129,2.1501452464997817e-09
2022-05-23,95985883.24838862,2.5765670254090146e-09,3.1700846018545225e-09,30014116.75161129,2.1734526462937335e-09
2022-05-24,95985883.24838862,2.6221702021069993e-09,3.2261925147804664e-09,30014116.75161129,2.2119209861467367e-09
2022-05-25,95985883.24838862,2.6841044071185828e-09,3.302393341261847e-09,30014116.751611285,2.2641652978186827e-09
2022-05-26,95985883.24838862,2.7605180410538635e-09,3.396408962874483e-09,30014116.751611285,2.32862367267322e-09
2022-05-27,95985883.24838862,2.8493385679007145e-09,3.5056894314577427e-09,30014116.751611285,2.403547831950091e-09
2022-05-28,95985883.24838863,2.9482613363446244e-09,3.6273992154058942e-09,30014116.75161128,2.4869936970374765e-09
2022-05-29,95985883.24838863,3.0547384010885437e-09,3.758403445959458e-09,30014116.75161128,2.5768119597443288e-09
2022-05-30,95985883.24838863,3.1659673441727198e-09,3.895254163496558e-09,30014116.751611277,2.6706386525727168e-09
2022-05-31,95985883.24838863,3.2788800962945417e-09,4.03417656382428e-09,30014116.751611277,2.765885718990164e-09
2022-06-01,95985883.24838863,3.39013175812838e-09,4.171055244470018e-09,30014116.751611274,2.8597315837019877e-09
2022-06-02,95985883.24838863,3.4960894216454285e-09,4.301420450972833e-09,30014116.751611274,2.94911172292364e-09
2022-06-03,95985883.24838863,3.5928209914335454e-09,4.420434323174801e-09,30014116.75161127,3.0307092346530446e-09
2022-06-04,95985883.24838863,3.6760840060170934e-09,4.5228771415123675e-09,30014116.75161127,3.1009454089429415e-09
2022-06-05,95985883.24838863,3.741314459176782e-09,4.603133573307701e-09,30014116.75161127,3.155970298173221e-09
2022-06-06,95985883.24838863,3.783615621269507e-09,4.655178919060047e-09,30014116.751611266,3.1916532873232694e-09
2022-06-07,95985883.24838863,3.797746860548195e-09,4.672565358737078e-09,30014116.751611266,3.2035736642443027e-09
2022-06-08,95985883.24838863,3.778112464481639e-09,4.648408198066248e-09,30014116.751611266,3.1870111899317103e-09
2022-06-09,95985883.24838863,3.718750461074347e-09,4.575372114826144e-09,30014116.75161127,3.1369366687973948e-09
2022-06-10,95985883.24838863,3.6133214401863757e-09,4.445657405137841e-09,30014116.75161127,3.0480025189421082e-09
2022-06-11,95985883.24838863,3.4550973748531765e-09,4.250986229756254e-09,30014116.751611274,2.9145333424277973e-09
2022-06-12,95985883.24838863,3.523912172836951e-09,4.335652683278955e-09,30014116.75161127,2.9725818018769765e-09
2022-06-13,95985883.24838863,3.6252651616976106e-09,4.4603525522495745e-09,30014116.75161127,3.058077709477714e-09
